厚生年金2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
28,0,0,0,0,0.089963916,0,0.085579595,0.008643714,1.121236965,0.083070715,0
29,0,0,0,0,0.101167475,0,0.096833922,0.010864525,1.145361848,0.092169264,0
30,0,0,0,0,0.115119551,0,0.113498962,0.014395173,1.170017632,0.101773504,0
31,0,0,0,0,0.1320394,0,0.136734699,0.019168656,1.195794254,0.112165462,0
32,0,0,0,0,0.150834006,0,0.165474866,0.024758656,1.222049269,0.122337254,0
33,0,0,0,0,0.169738688,0,0.196938242,0.030501728,1.248229581,0.13116197,0
34,0,0,0,0,0.187321956,0,0.228163457,0.035694875,1.27224588,0.137978521,0
35,0,0,0,0,0.202716974,0,0.256778399,0.039864697,1.291985924,0.143206723,0
36,0,0,0,0,0.216043503,0,0.281548413,0.042834484,1.30679052,0.147460877,0
37,0,0,0,0,0.227933174,0,0.302212454,0.044685661,1.315983131,0.150744553,0
38,0,0,0,0,0.23887185,0,0.319185415,0.045689634,1.31712194,0.152001844,0
39,0,0,0,0,0.249179427,0,0.332851038,0.046100439,1.30736041,0.150133252,0
40,0,0,0,0,0.259083088,0,0.343528278,0.045984906,1.284093077,0.144308551,0
41,0,0,0,0,0.268519109,0,0.351309397,0.045252578,1.246068277,0.134446887,0
42,0,0,0,0,0.277334734,0,0.35598371,0.043809893,1.193640511,0.121056271,0
43,0,0,0,0,0.285265758,0,0.356846157,0.041624139,1.128274328,0.105268598,0
44,0,0,0,0,0.292048206,0,0.353118645,0.038723875,1.051041596,0.088246963,0
45,0,0,0,0,0.297635167,0,0.34430878,0.035166871,0.962888977,0.071370406,0
46,0,0,0,0,0.302368531,0,0.330406329,0.031098547,0.865187601,0.055778572,0
47,0,0,0,0,0.307040191,0,0.312087697,0.026737308,0.76051885,0.04222021,0
48,0,0,0,0,0.312690312,0,0.290662508,0.022442265,0.652786312,0.030946675,0
49,0,0,0,0,0.320259285,0.003764756,0.267491193,0.018643421,0.546524043,0.021921169,0
50,0,0,0,0,0.330179732,0.018647218,0.243448657,0.015600754,0.445688807,0.014924943,0
51,0,0,0,0,0.342260859,0.0433876,0.219025522,0.013220757,0.353574122,0.009701701,0
52,0,0,0,0,0.355907152,0.073874462,0.194595552,0.011210696,0.272669602,0.006004586,0
53,0,0,0,0,0.370535242,0.103146769,0.170595373,0.009308449,0.204207361,0.003514905,0
