私学共済2024年財政検証基礎率,,,,,,,,,,,
被保険者種別,1,種,,,,,,,,,
失権率,Q,,,,,,,,,,
年齢,老齢失権率,障害失権率,遺族失権率,,,,,,,,
0,0,0,0,,,,,,,,
1,0,0,0,,,,,,,,
2,0,0,0,,,,,,,,
3,0,0,0,,,,,,,,
4,0,0,0,,,,,,,,
5,0,0,0,,,,,,,,
6,0,0,0,,,,,,,,
7,0,0,0,,,,,,,,
8,0,0,0,,,,,,,,
9,0,0,0,,,,,,,,
10,0,0,0,,,,,,,,
11,0,0,0,,,,,,,,
12,0,0,0,,,,,,,,
13,0,0,0,,,,,,,,
35,0,0,0,0,0.350997691,0,0.256778399,0.039864697,1.291985924,0.143206723,0
36,0,0,0,0,0.348251169,0,0.281548413,0.042834484,1.30679052,0.147460877,0
37,0,0,0,0,0.335511134,0,0.302212454,0.044685661,1.315983131,0.150744553,0
38,0,0,0,0,0.323948077,0,0.319185415,0.045689634,1.31712194,0.152001844,0
39,0,0,0,0,0.325044619,0,0.332851038,0.046100439,1.30736041,0.150133252,0
40,0,0,0,0,0.344608509,0,0.343528278,0.045984906,1.284093077,0.144308551,0
41,0,0,0,0,0.38044264,0,0.351309397,0.045252578,1.246068277,0.134446887,0
42,0,0,0,0,0.422553371,0,0.35598371,0.043809893,1.193640511,0.121056271,0
43,0,0,0,0,0.457446048,0,0.356846157,0.041624139,1.128274328,0.105268598,0
44,0,0,0,0,0.473319747,0,0.353118645,0.038723875,1.051041596,0.088246963,0
45,0,0,0,0,0.46612322,0,0.34430878,0.035166871,0.962888977,0.071370406,0
46,0,0,0,0,0.440535425,0,0.330406329,0.031098547,0.865187601,0.055778572,0
47,0,0,0,0,0.407344274,0,0.312087697,0.026737308,0.76051885,0.04222021,0
48,0,0,0,0,0.377902377,0,0.290662508,0.022442265,0.652786312,0.030946675,0
49,0,0,0,0,0.360295158,0.003764756,0.267491193,0.018643421,0.546524043,0.021921169,0
50,0,0,0,0,0.357248014,0.018647218,0.243448657,0.015600754,0.445688807,0.014924943,0
51,0,0,0,0,0.367094873,0.0433876,0.219025522,0.013220757,0.353574122,0.009701701,0
52,0,0,0,0,0.385689566,0.073874462,0.194595552,0.011210696,0.272669602,0.006004586,0
53,0,0,0,0,0.40936704,0.103146769,0.170595373,0.009308449,0.204207361,0.003514905,0
54,0,0,0,0,0.435664612,0.124719489,0.147603029,0.007411992,0.148188927,0.001908976,0
55,0,0,0,0,0.463165185,0.136007342,0.126150032,0.005585446,0.103906403,0.000943896,0
56,0,0,0,0,0.490922368,0.138881252,0.106522278,0.004000761,0.070223415,0.000433414,0
57,0,0,0,0,0.518697898,0.13775119,0.088693985,0.002768048,0.045629383,0.00018862,0
58,0,0,0,0,0.546058986,0.136806269,0.072603358,0.001891253,0.028379059,0.000077897,0
59,0,0,0,0,0.571980224,0.138481513,0.058335802,0.001324966,0.016807505,0.000031932,0
60,0.614462565,0.252299986,0.040804261,0.00066242,0.594202219,0.142508263,0.0461148,0.001004492,0.009440501,0.000014697,0.03843637
